,Objective_Value
0,156221.644879181
1,152978.63248756275
2,157709.64917131292
3,154773.39696005086
4,159020.9010284586
5,153656.02565877436
6,160433.40404920012
7,159372.421337853
8,155375.77193603836
9,152620.7829175114
10,157896.6972127019
11,158245.6817169614
12,156253.38855475906
13,156861.9211112138
14,157858.6454014247
15,161991.67661138639
16,157834.56853645292
17,164252.62991648455
18,162559.83632497402
19,157849.95785341022
20,153569.45198098657
21,159837.83058300737
22,164782.42950923464
23,157486.06705218024
24,155331.26018698962
25,156793.48008867374
26,161391.50933739834
27,156514.63959353053
28,158418.5134024901
29,155346.48600193378
30,153331.72926974262
31,152565.06291686636
32,160614.92317119325
33,163520.52752052885
34,156510.4332585334
35,157360.53405667652
36,153780.30948976346
37,158575.65250978054
38,152954.20926004945
39,161039.2875510873
40,156687.58684083755
41,154388.05982288966
42,155440.3568340786
43,159393.75448738714
44,164331.1627306836
45,157169.9468741789
46,160358.08615203795
47,160782.0346102342
48,159836.07404980453
49,156206.7097563061
50,161634.55623003744
51,160222.970267818
52,159735.6253450259
53,158855.5486990052
54,162248.23535817873
55,160581.1768402871
56,156288.57521264165
57,156373.64926721036
58,154545.6349035697
59,158893.8429679729
60,153911.8612252953
61,159684.6990755139
62,154982.91130264162
63,156683.6093748781
64,156937.43438302432
65,159510.4145719256
66,160182.23473796918
67,154373.4796196781
68,158451.085557023
69,158680.58536393938
70,164022.40994641636
71,157289.9513789877
72,157318.3462668384
73,156176.4378635156
74,154565.19585631258
75,153916.33220909958
76,160052.56632087726
77,165831.4498035286
78,158784.52139478116
79,157802.95179191703
80,158822.83425198914
81,158492.19828923067
82,155257.29633887252
83,162002.58000692338
84,157182.53114707433
85,154600.95245795124
86,153280.02174058836
87,157934.73457409456
88,165262.67095428507
89,157621.98995665758
90,158716.7016437403
91,162852.56670970822
92,163057.48809633462
93,162566.82198672314
94,161762.7478281925
95,157090.91965430646
96,153659.31577882214
97,156245.7296958414
98,161163.37252745722
99,161131.89720993352
100,156332.91909885828
101,158006.3620506352
102,156424.6856412155
103,162743.1721407682
104,155758.60705020587
105,162266.06437159737
106,157685.50244709238
107,157229.9182687008
108,154907.93429380993
109,162081.70473608878
110,164452.83840175477
111,156594.45655290768
112,159957.85724708068
113,156165.26442083184
114,159976.01178647424
115,158430.07922049752
116,163279.1852361321
117,161912.09637761794
118,161385.12248125806
119,156198.01783709243
120,160746.35962502912
121,141064.84056164636
